ip,attacks,risk_score,risk_level,risk_reasons,asn,asn_name,asn_org,asn_source,rdap_source,tor_exit,spamhaus_drop,spamhaus_asndrop,feed_hits,bph_flag,bph_label,bph_confidence,bph_note
173.54.68.205,10,25,low,repeated_attacks_ge_10,AS701,UUNET,Verizon Business,team-cymru-dns,rdap.org,False,False,False,,False,,,
175.43.167.196,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
175.6.54.21,10,25,low,repeated_attacks_ge_10,AS63835,,,team-cymru-dns,none,False,False,False,,False,,,
176.101.247.170,10,25,low,repeated_attacks_ge_10,AS57534,ASAHMEDOV,Ahmedov Alil,team-cymru-dns,rdap.org,False,False,False,,False,,,
176.192.198.233,10,25,low,repeated_attacks_ge_10,AS12714,MEGAFON-AS,MEGAFON-RIPE-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
176.241.136.91,10,25,low,repeated_attacks_ge_10,AS31520,Datagroup-Retail,ASN3326-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
176.37.108.180,10,25,low,repeated_attacks_ge_10,AS39608,,,team-cymru-dns,none,False,False,False,,False,,,
177.5.255.13,10,25,low,repeated_attacks_ge_10,AS8167,ASN8167,V tal,team-cymru-dns,rdap.org,False,False,False,,False,,,
178.172.147.100,10,25,low,repeated_attacks_ge_10,AS42772,,,team-cymru-dns,none,False,False,False,,False,,,
18.212.223.42,10,25,low,repeated_attacks_ge_10,AS14618,AMAZON-AES,"Amazon.com, Inc.",team-cymru-dns,rdap.org,False,False,False,,False,,,
18.215.152.242,10,25,low,repeated_attacks_ge_10,AS14618,AMAZON-AES,"Amazon.com, Inc.",team-cymru-dns,rdap.org,False,False,False,,False,,,
180.115.165.158,10,25,low,repeated_attacks_ge_10,AS140293,CHINATELECOM-JIANGSU-CHANGZHOU-5G-NETWORK,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
180.165.18.144,10,25,low,repeated_attacks_ge_10,AS4812,,,team-cymru-dns,none,False,False,False,,False,,,
181.117.8.50,10,25,low,repeated_attacks_ge_10,AS11664,,,team-cymru-dns,none,False,False,False,,False,,,
181.191.14.61,10,25,low,repeated_attacks_ge_10,AS265981,ASN265981,Linknet Telecomunicações LTDA,team-cymru-dns,rdap.org,False,False,False,,False,,,
181.46.9.169,10,25,low,repeated_attacks_ge_10,AS27747,27747,Telecentro S.A.,team-cymru-dns,rdap.org,False,False,False,,False,,,
182.122.25.199,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
182.124.9.244,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
182.34.193.17,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
182.37.91.128,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
182.37.91.133,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
182.37.91.138,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
182.37.91.147,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
182.37.91.192,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
182.37.91.211,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
182.43.104.151,10,25,low,repeated_attacks_ge_10,AS58519,,,team-cymru-dns,none,False,False,False,,False,,,
182.46.1.5,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
183.156.237.119,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
184.105.247.224,10,25,low,repeated_attacks_ge_10,AS6939,HURRICANE,Hurricane Electric LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
184.105.247.242,10,25,low,repeated_attacks_ge_10,AS6939,HURRICANE,Hurricane Electric LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.145.182.96,10,25,low,repeated_attacks_ge_10,AS31556,,,team-cymru-dns,none,False,False,False,,False,,,
185.150.189.18,10,25,low,repeated_attacks_ge_10,AS23470,RELIABLESITE,ReliableSite.Net LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.216.145.181,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.223.235.13,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.223.235.17,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.223.235.29,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.223.235.4,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.223.235.55,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.247.137.152,10,25,low,repeated_attacks_ge_10,AS211298,DRIFTNET,Driftnet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.247.137.176,10,25,low,repeated_attacks_ge_10,AS211298,DRIFTNET,Driftnet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.247.137.23,10,25,low,repeated_attacks_ge_10,AS211298,DRIFTNET,Driftnet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.247.137.81,10,25,low,repeated_attacks_ge_10,AS211298,DRIFTNET,Driftnet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
185.9.139.117,10,25,low,repeated_attacks_ge_10,AS202710,abnet,lir-al-abnet1-1-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
186.22.16.132,10,25,low,repeated_attacks_ge_10,AS27747,27747,Telecentro S.A.,team-cymru-dns,rdap.org,False,False,False,,False,,,
188.220.168.28,10,25,low,repeated_attacks_ge_10,AS210356,,,team-cymru-dns,none,False,False,False,,False,,,
188.36.120.120,10,25,low,repeated_attacks_ge_10,AS5483,MAGYAR-TELEKOM-MAIN-AS,AS5483-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
190.14.236.180,10,25,low,repeated_attacks_ge_10,AS27951,,,team-cymru-dns,none,False,False,False,,False,,,
193.163.125.221,10,25,low,repeated_attacks_ge_10,AS211298,DRIFTNET,Driftnet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.163.125.43,10,25,low,repeated_attacks_ge_10,AS211298,DRIFTNET,Driftnet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.163.125.49,10,25,low,repeated_attacks_ge_10,AS211298,DRIFTNET,Driftnet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.163.125.51,10,25,low,repeated_attacks_ge_10,AS211298,DRIFTNET,Driftnet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.163.125.69,10,25,low,repeated_attacks_ge_10,AS211298,DRIFTNET,Driftnet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.176.31.151,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.176.31.200,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.176.31.201,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.176.31.231,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.176.31.237,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.25.217.78,10,25,low,repeated_attacks_ge_10,AS219474,GRAV-AS,GravHosting,team-cymru-dns,rdap.org,False,False,False,,False,,,
193.47.62.69,10,25,low,repeated_attacks_ge_10,AS216014,,,team-cymru-dns,none,False,False,False,,False,,,
194.44.33.47,10,25,low,repeated_attacks_ge_10,AS3255,UARNET-AS,admin,team-cymru-dns,rdap.org,False,False,False,,False,,,
195.184.76.110,10,25,low,repeated_attacks_ge_10,AS213412,ONYPHE,Admin,team-cymru-dns,rdap.org,False,False,False,,False,,,
195.184.76.114,10,25,low,repeated_attacks_ge_10,AS213412,ONYPHE,Admin,team-cymru-dns,rdap.org,False,False,False,,False,,,
195.184.76.115,10,25,low,repeated_attacks_ge_10,AS213412,ONYPHE,Admin,team-cymru-dns,rdap.org,False,False,False,,False,,,
195.184.76.23,10,25,low,repeated_attacks_ge_10,AS213412,ONYPHE,Admin,team-cymru-dns,rdap.org,False,False,False,,False,,,
195.184.76.79,10,25,low,repeated_attacks_ge_10,AS213412,ONYPHE,Admin,team-cymru-dns,rdap.org,False,False,False,,False,,,
195.184.76.83,10,25,low,repeated_attacks_ge_10,AS213412,ONYPHE,Admin,team-cymru-dns,rdap.org,False,False,False,,False,,,
195.230.103.243,10,25,low,repeated_attacks_ge_10,AS211607,RECORDEDFUTURE,lir-us-securitytrails-1-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
195.26.18.134,10,25,low,repeated_attacks_ge_10,AS212617,ALDEN-AS,ALDEN-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
195.96.139.150,10,25,low,repeated_attacks_ge_10,AS211298,DRIFTNET,Driftnet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
198.179.70.19,10,25,low,repeated_attacks_ge_10,AS12271,TWC-12271-NYC,Charter Communications Inc,team-cymru-dns,rdap.org,False,False,False,,False,,,
198.235.24.212,10,25,low,repeated_attacks_ge_10,AS396982,GOOGLE-CLOUD-PLATFORM,Google LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
198.235.24.71,10,25,low,repeated_attacks_ge_10,AS396982,GOOGLE-CLOUD-PLATFORM,Google LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
198.235.24.99,10,25,low,repeated_attacks_ge_10,AS396982,GOOGLE-CLOUD-PLATFORM,Google LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
199.45.154.77,10,25,low,repeated_attacks_ge_10,AS398722,,,team-cymru-dns,none,False,False,False,,False,,,
2.26.150.5,10,25,low,repeated_attacks_ge_10,AS212743,,,team-cymru-dns,none,False,False,False,,False,,,
200.81.161.26,10,25,low,repeated_attacks_ge_10,AS10617,,,team-cymru-dns,none,False,False,False,,False,,,
200.86.41.76,10,25,low,repeated_attacks_ge_10,AS22047,22047,VTR BANDA ANCHA S.A.,team-cymru-dns,rdap.org,False,False,False,,False,,,
201.150.233.71,10,25,low,repeated_attacks_ge_10,AS28378,28378,"TV Rey de Occidente, S.A. de C.V.",team-cymru-dns,rdap.org,False,False,False,,False,,,
207.175.109.251,10,25,low,repeated_attacks_ge_10,AS396982,GOOGLE-CLOUD-PLATFORM,Google LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
207.175.143.70,10,25,low,repeated_attacks_ge_10,AS396982,GOOGLE-CLOUD-PLATFORM,Google LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
207.175.237.99,10,25,low,repeated_attacks_ge_10,AS396982,GOOGLE-CLOUD-PLATFORM,Google LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
207.175.34.171,10,25,low,repeated_attacks_ge_10,AS396982,GOOGLE-CLOUD-PLATFORM,Google LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
207.175.58.113,10,25,low,repeated_attacks_ge_10,AS396982,GOOGLE-CLOUD-PLATFORM,Google LLC,team-cymru-dns,rdap.org,False,False,False,,False,,,
211.72.138.183,10,25,low,repeated_attacks_ge_10,AS3462,,,team-cymru-dns,none,False,False,False,,False,,,
212.58.121.50,10,25,low,repeated_attacks_ge_10,AS16010,MagticomAS,Magticom NOC,team-cymru-dns,rdap.org,False,False,False,,False,,,
213.166.84.35,10,25,low,repeated_attacks_ge_10,AS25369,BANDWIDTH-AS,HYDRA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
217.60.8.175,10,25,low,repeated_attacks_ge_10,AS212743,,,team-cymru-dns,none,False,False,False,,False,,,
218.59.6.140,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
220.132.147.12,10,25,low,repeated_attacks_ge_10,AS3462,,,team-cymru-dns,none,False,False,False,,False,,,
220.132.193.200,10,25,low,repeated_attacks_ge_10,AS3462,,,team-cymru-dns,none,False,False,False,,False,,,
220.132.194.158,10,25,low,repeated_attacks_ge_10,AS3462,,,team-cymru-dns,none,False,False,False,,False,,,
220.133.122.106,10,25,low,repeated_attacks_ge_10,AS3462,,,team-cymru-dns,none,False,False,False,,False,,,
220.133.177.156,10,25,low,repeated_attacks_ge_10,AS3462,,,team-cymru-dns,none,False,False,False,,False,,,
220.135.213.213,10,25,low,repeated_attacks_ge_10,AS3462,,,team-cymru-dns,none,False,False,False,,False,,,
221.193.144.57,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
221.233.50.203,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
221.235.47.245,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
222.176.200.57,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
223.167.48.159,10,25,low,repeated_attacks_ge_10,AS17621,CNCGROUP-SH,ChinaUnicom Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.152.8.238,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.18.152.167,10,25,low,repeated_attacks_ge_10,AS137266,,,team-cymru-dns,none,False,False,False,,False,,,
27.192.41.36,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.198.113.221,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.198.248.69,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.201.212.108,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.203.108.41,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.207.109.70,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.207.191.179,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.207.230.87,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.209.115.154,10,25,low,repeated_attacks_ge_10,AS4837,CHINA169-Backbone,IRT-CU-CN,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.25.70.182,10,25,low,repeated_attacks_ge_10,AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
27.41.249.160,10,25,low,repeated_attacks_ge_10,AS17816,CHINA169-GZ,ChinaUnicom Hostmaster,team-cymru-dns,rdap.org,False,False,False,,False,,,
3.18.102.11,10,25,low,repeated_attacks_ge_10,AS16509,,,team-cymru-dns,none,False,False,False,,False,,,
3.87.52.46,10,25,low,repeated_attacks_ge_10,AS14618,AMAZON-AES,"Amazon.com, Inc.",team-cymru-dns,rdap.org,False,False,False,,False,,,
