asn,asn_name,asn_org,attacks,unique_ips,max_risk_score,risk_level,risk_reasons,tor_exit_ips,spamhaus_drop_hits,spamhaus_asndrop,bph_flag,bph_label,bph_confidence
AS17465,ASIANET,IRT-ASIANET-IN,181,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS135480,IDNIC-AGTI-AS-ID,AGTINET Administrator,178,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS20473,AS-VULTR,"The Constant Company, LLC",176,3,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS49870,AS49870-BV,AS49870 B.V.,173,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS135918,DVS-AS-VN,IRT-VNNIC-AP,173,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS401696,COGNETCLOUD,cognetcloud INC,167,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS17858,,,162,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS1100,,,151,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS153416,DTDMVNCLOUD-VN,Nguyen Thi Trang,150,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS150862,MAYTINHVPSTTT-VN,To Thanh Trang,146,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS3462,,,140,25,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS137718,,,140,4,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS213412,ONYPHE,Admin,136,14,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS135407,TES-PL-AS-AP,Trans World Enterprise Services Private Limited,136,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS42831,UKSERVERS-AS,David Howes,135,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS211680,AS-BITSIGHT,Data Operations,134,11,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS4766,KIXS-AS-KR-KR,AS Manager,133,8,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS38818,YOKOUNANET-MN-AS-AP,Jazag Lkhagvasuren,133,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS134762,CHINANET-LIAONING-DALIAN-MAN,Chinanet Hostmaster,126,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
